iter	Passed	Remaining
132	26207	74681
133	26392	74449
134	26584	74239
135	26771	74014
136	26959	73794
137	27144	73564
138	27323	73322
139	27509	73096
140	27683	72841
141	27862	72599
142	28046	72372
143	28230	72144
144	28411	71911
145	28596	71685
146	28784	71470
147	28971	71253
148	29164	71052
149	29359	70855
150	29554	70657
151	29745	70449
152	29935	70240
153	30140	70066
154	30325	69846
155	30516	69639
156	30701	69421
157	30886	69200
158	31071	68982
159	31271	68797
160	31469	68607
161	31678	68441
162	31883	68265
163	32080	68074
164	32287	67901
165	32478	67695
166	32718	67591
167	32930	67428
168	33146	67274
169	33358	67109
170	33564	66933
171	33774	66764
172	33973	66571
173	34179	66394
174	34389	66223
175	34608	66070
176	34812	65887
177	35017	65706
178	35226	65532
179	35427	65344
180	35638	65172
181	35878	65054
182	36077	64860
183	36319	64744
184	36538	64583
185	36754	64418
186	36963	64241
187	37185	64085
188	37401	63918
189	37648	63804
190	37879	63661
191	38113	63522
192	38337	63365
193	38571	63225
194	38832	63127
195	39140	63104
196	39386	62977
197	39625	62840
198	39868	62707
199	40093	62545
200	40326	62396
201	40547	62226
202	40780	62074
203	41001	61903
204	41234	61750
205	41460	61587
206	41672	61401
207	41884	61215
208	42093	61026
209	42311	60848
210	42538	60683
211	42757	60506
212	43011	60377
213	43279	60268
214	43504	60097
215	43744	59945
216	43965	59769
217	44208	59620
218	44435	59450
219	44668	59287
220	44882	59099
221	45090	58902
222	45333	58751
223	45563	58581
224	45801	58422
225	46033	58254
226	46276	58099
227	46503	57925
228	46734	57754
229	46997	57623
230	47252	57480
231	47476	57299
232	47704	57122
233	47968	56987
234	48196	56810
235	48422	56629
236	48630	56427
237	48852	56242
238	49060	56039
239	49273	55843
240	49485	55645
241	49692	55442
242	49933	55275
243	50150	55083
244	50363	54885
245	50577	54689
246	50793	54495
247	51010	54301
248	51248	54130
249	51469	53940
250	51693	53753
251	51907	53555
252	52138	53375
253	52351	53175
254	52562	52974
255	52779	52779
256	52998	52586
257	53213	52388
258	53423	52185
259	53633	51983
260	53857	51793
261	54071	51595
262	54294	51404
263	54505	51202
264	54722	51005
265	54943	50812
266	55159	50614
267	55394	50433
268	55604	50230
269	55819	50030
270	56041	49838
271	56272	49651
272	56494	49458
273	56726	49273
274	56949	49080
275	57180	48893
276	57396	48693
277	57610	48492
278	57828	48294
279	58107	48146
280	58401	48010
281	58629	47818
282	58871	47637
283	59213	47537
284	59505	47395
285	59741	47208
286	59987	47028
287	60224	46841
288	60452	46646
289	60747	46503
290	60979	46310
291	61214	46120
292	61473	45947
293	61730	45773
294	61961	45578
295	62192	45383
296	62420	45186
297	62644	44986
298	62872	44788
299	63102	44592
300	63357	44413
301	63610	44232
302	63868	44054
303	64122	43873
304	64404	43710
305	64675	43539
306	64951	43371
307	65183	43173
308	65437	42989
309	65685	42801
310	65910	42597
311	66142	42398
312	66384	42206
313	66620	42008
314	66838	41800
315	67045	41585
316	67278	41385
317	67496	41176
318	67703	40961
319	67928	40757
320	68174	40564
321	68391	40355
322	68607	40145
323	68855	39953
324	69063	39737
325	69291	39534
326	69526	39334
327	69763	39135
328	70031	38953
329	70265	38752
330	70486	38544
331	70700	38331
332	70932	38129
333	71198	37944
334	71441	37746
335	71671	37541
336	71901	37337
337	72132	37133
338	72372	36933
339	72602	36728
340	72835	36524
341	73085	36328
342	73337	36133
343	73553	35921
344	73771	35709
345	73990	35498
346	74252	35307
347	74476	35098
348	74735	34904
349	74953	34692
350	75184	34486
351	75405	34275
352	75631	34066
353	75875	33865
354	76200	33700
355	76494	33520
356	76779	33335
357	77037	33138
358	77289	32939
359	77523	32732
360	77765	32528
361	77983	32313
362	78232	32111
363	78461	31901
364	78701	31696
365	78927	31484
366	79139	31267
367	79384	31063
368	79627	30858
369	79853	30646
370	80066	30429
371	80289	30216
372	80507	30001
373	80720	29784
374	80990	29588
375	81217	29376
376	81427	29158
377	81633	28938
378	81843	28720
379	82052	28502
380	82267	28286
381	82477	28068
382	82686	27850
383	82893	27631
384	83147	27427
385	83367	27213
386	83603	27003
387	83825	26789
388	84038	26572
389	84258	26357
390	84472	26141
391	84697	25927
392	84903	25708
393	85111	25490
394	85349	25280
395	85558	25062
396	85779	24848
397	85997	24632
398	86233	24422
399	86448	24205
400	86685	23995
401	86893	23776
402	87102	23558
403	87331	23346
404	87553	23131
405	87762	22913
406	87984	22698
407	88223	22488
408	88453	22275
409	88661	22057
410	88870	21839
411	89074	21620
412	89293	21404
413	89507	21187
414	89769	20982
415	89988	20766
416	90210	20551
417	90439	20338
418	90659	20122
419	90887	19908
420	91101	19691
421	91325	19476
422	91556	19263
423	91791	19051
424	92009	18834
425	92230	18619
426	92457	18404
427	92690	18191
428	92911	17975
429	93116	17757
430	93333	17540
431	93542	17322
432	93759	17106
433	93986	16891
434	94193	16673
435	94417	16458
436	94629	16240
437	94853	16025
438	95064	15808
439	95278	15591
440	95487	15373
441	95692	15154
442	95925	14941
443	96137	14723
444	96366	14509
445	96575	14291
446	96800	14076
447	97013	13859
448	97270	13648
449	97529	13437
450	97753	13221
451	97964	13004
452	98180	12787
453	98416	12573
454	98626	12355
455	98845	12138
456	99071	11923
457	99306	11708
458	99512	11490
459	99753	11276
460	99981	11060
461	100213	10845
462	100449	10630
463	100670	10414
464	100891	10197
465	101112	9981
466	101343	9765
467	101558	9548
468	101771	9330
469	102001	9115
470	102238	8899
471	102454	8682
472	102660	8464
473	102881	8247
474	103094	8030
475	103323	7814
476	103534	7596
477	103752	7379
478	103966	7162
479	104181	6945
480	104409	6729
481	104625	6511
482	104839	6294
483	105051	6077
484	105316	5863
485	105558	5647
486	105818	5432
487	106063	5216
488	106292	4999
489	106534	4783
490	106754	4565
491	107023	4350
492	107268	4134
493	107512	3917
494	107750	3700
495	107987	3483
496	108220	3266
497	108450	3048
498	108698	2831
499	108934	2614
500	109146	2396
501	109364	2178
502	109570	1960
503	109777	1742
504	109988	1524
505	110192	1306
506	110412	1088
507	110621	871
508	110830	653
509	111033	435
510	111272	217
511	111529	0
